nombre_japones,nombre,habilidades,contraataque_insecto,contraataque_siniestro,contraataque_dragon,contraataque_electrico,contraataque_hada,contraataque_lucha,contraataque_fuego,contraataque_volador,contraataque_fantasma,contraataque_planta,contraataque_tierra,contraataque_hielo,contraataque_normal,contraataque_veneno,contraataque_psiquico,contraataque_roca,contraataque_acero,contraataque_agua,ataque,pasos_base_para_eclosion,felicidad_base,total_base,Probabilidad_de_captura,clasificacion,defensa,crecimiento_experiencia,altura_(m),Puntos_de_salud,%_macho,No_Pokedex,ataque_especial,defensa_especial,velocidad,tipo1,tipo2,peso_(kg),generacion,es_legendario
Yamikarasuヤミカラス,Murkrow,"Insomnia, Super Luck, Prankster",1.0,0.5,1.0,2.0,2.0,1.0,1.0,1.0,0.5,0.5,0.0,2.0,1.0,1.0,0.0,2.0,1.0,1.0,85,5120,35,405,30,Darkness Pokémon,42,1059860,0.5,60,50.0,198,85,42,91,Dark,Flying,2.1,2,0
Yadokingヤドキング,Slowking,"Oblivious, Own Tempo, Regenerator",2.0,2.0,1.0,2.0,1.0,0.5,0.5,1.0,2.0,2.0,1.0,0.5,1.0,1.0,0.5,1.0,0.5,0.5,75,5120,70,490,70,Royal Pokémon,80,1000000,2.0,95,50.0,199,100,110,30,Water,Psychic,79.5,2,0
Mumaムウマ,Misdreavus,Levitate,0.5,2.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0.5,1.0,1.0,1.0,1.0,60,6400,35,435,45,Screech Pokémon,60,800000,0.7,60,50.0,200,85,85,85,Ghost,Ninguno,1.0,2,0
Unknownアンノーン,Unown,Levitate,2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,72,10240,70,336,225,Symbol Pokémon,48,1000000,0.5,48,-1.0,201,72,48,48,Psychic,Ninguno,5.0,2,0
Sonansソーナンス,Wobbuffet,"Shadow Tag, Telepathy",2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,33,5120,70,405,45,Patient Pokémon,58,1000000,1.3,190,50.0,202,33,58,33,Psychic,Ninguno,28.5,2,0
Kirinrikiキリンリキ,Girafarig,"Inner Focus, Early Bird, Sap Sipper",2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,80,5120,70,455,60,Long Neck Pokémon,65,1000000,1.5,70,50.0,203,90,65,85,Normal,Psychic,41.5,2,0
Kunugidamaクヌギダマ,Pineco,"Sturdy, Overcoat",1.0,1.0,1.0,1.0,1.0,0.5,2.0,2.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0,65,5120,70,290,190,Bagworm Pokémon,90,1000000,0.6,50,50.0,204,35,35,15,Bug,Ninguno,7.2,2,0
Foretosフォレトス,Forretress,"Sturdy, Overcoat",0.5,1.0,0.5,1.0,0.5,1.0,4.0,1.0,1.0,0.25,1.0,0.5,0.5,0.0,0.5,1.0,0.5,1.0,90,5120,70,465,75,Bagworm Pokémon,140,1000000,1.2,75,50.0,205,60,60,40,Bug,Steel,125.8,2,0
Nokocchiノコッチ,Dunsparce,"Serene Grace, Run Away, Rattled",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,70,5120,70,415,190,Land Snake Pokémon,70,1000000,1.5,100,50.0,206,65,65,45,Normal,Ninguno,14.0,2,0
Gligerグライガー,Gligar,"Hyper Cutter, Sand Veil, Immunity",0.5,1.0,1.0,0.0,1.0,0.5,1.0,1.0,1.0,1.0,0.0,4.0,1.0,0.5,1.0,1.0,1.0,2.0,75,5120,70,430,60,Flyscorpion Pokémon,105,1059860,1.1,65,50.0,207,35,65,85,Ground,Flying,64.8,2,0
Haganeilハガネール,Steelix,"Rock Head, Sturdy, Sheer Force",0.5,1.0,0.5,0.0,0.5,2.0,2.0,0.5,1.0,1.0,2.0,1.0,0.5,0.0,0.5,0.25,0.5,2.0,125,6400,70,610,25,Iron Snake Pokémon,230,1000000,9.2,75,50.0,208,55,95,30,Steel,Ground,400.0,2,0
Buluブルー,Snubbull,"Intimidate, Run Away, Rattled",0.5,0.5,0.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,80,5120,70,300,190,Fairy Pokémon,50,800000,0.6,60,24.6,209,40,40,30,Fairy,Ninguno,7.8,2,0
Granbuluグランブル,Granbull,"Intimidate, Quick Feet, Rattled",0.5,0.5,0.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,120,5120,70,450,75,Fairy Pokémon,75,800000,1.4,90,24.6,210,60,60,45,Fairy,Ninguno,48.7,2,0
Harysenハリーセン,Qwilfish,"Poison Point, Swift Swim, Intimidate",0.5,1.0,1.0,2.0,0.5,0.5,0.5,1.0,1.0,1.0,2.0,0.5,1.0,0.5,2.0,1.0,0.5,0.5,95,5120,70,440,45,Balloon Pokémon,85,1000000,0.5,65,50.0,211,55,55,85,Water,Poison,3.9,2,0
Hassamハッサム,Scizor,"Swarm, Technician, Light Metal",0.5,1.0,0.5,1.0,0.5,1.0,4.0,1.0,1.0,0.25,1.0,0.5,0.5,0.0,0.5,1.0,0.5,1.0,150,6400,70,600,25,Pincer Pokémon,140,1000000,1.8,70,50.0,212,65,100,75,Bug,Steel,118.0,2,0
Tsubotsuboツボツボ,Shuckle,"Sturdy, Gluttony, Contrary",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,2.0,2.0,2.0,10,5120,70,505,190,Mold Pokémon,230,1059860,0.6,20,50.0,213,10,230,5,Bug,Rock,20.5,2,0
Heracrosヘラクロス,Heracross,"Swarm, Guts, Moxie",0.5,0.5,1.0,1.0,2.0,0.5,2.0,4.0,1.0,0.5,0.5,1.0,1.0,1.0,2.0,1.0,1.0,1.0,185,6400,70,600,45,Singlehorn Pokémon,115,1250000,1.5,80,50.0,214,40,105,75,Bug,Fighting,54.0,2,0
Nyulaニューラ,Sneasel,"Inner Focus, Keen Eye, Pickpocket",2.0,0.5,1.0,1.0,2.0,4.0,2.0,1.0,0.5,1.0,1.0,0.5,1.0,1.0,0.0,2.0,2.0,1.0,95,5120,35,430,60,Sharp Claw Pokémon,55,1059860,0.9,55,50.0,215,35,75,115,Dark,Ice,28.0,2,0
Himegumaヒメグマ,Teddiursa,"Pickup, Quick Feet, Honey Gather",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,80,5120,70,330,120,Little Bear Pokémon,50,1000000,0.6,60,50.0,216,50,50,40,Normal,Ninguno,8.8,2,0
Ringumaリングマ,Ursaring,"Guts, Quick Feet, Unnerve",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,130,5120,70,500,60,Hibernator Pokémon,75,1000000,1.8,90,50.0,217,75,75,55,Normal,Ninguno,125.8,2,0
Magmagマグマッグ,Slugma,"Magma Armor, Flame Body, Weak Armor",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,40,5120,70,250,190,Lava Pokémon,40,1000000,0.7,40,50.0,218,70,40,20,Fire,Ninguno,35.0,2,0
Magcargotマグカルゴ,Magcargo,"Magma Armor, Flame Body, Weak Armor",0.5,1.0,1.0,1.0,0.5,2.0,0.25,0.5,1.0,1.0,4.0,0.5,0.5,0.5,1.0,2.0,1.0,4.0,50,5120,70,430,75,Lava Pokémon,120,1000000,0.8,60,50.0,219,90,80,30,Fire,Rock,55.0,2,0
Urimooウリムー,Swinub,"Oblivious, Snow Cloak, Thick Fat",1.0,1.0,1.0,0.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,2.0,50,5120,70,250,225,Pig Pokémon,40,1250000,0.4,50,50.0,220,30,30,50,Ice,Ground,6.5,2,0
Inomooイノムー,Piloswine,"Oblivious, Snow Cloak, Thick Fat",1.0,1.0,1.0,0.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,2.0,100,5120,70,450,75,Swine Pokémon,80,1250000,1.1,100,50.0,221,60,60,50,Ice,Ground,55.8,2,0
Sunnygoサニーゴ,Corsola,"Hustle, Natural Cure, Regenerator",1.0,1.0,1.0,2.0,1.0,2.0,0.25,0.5,1.0,4.0,2.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0,55,5120,70,410,60,Coral Pokémon,95,800000,0.6,65,24.6,222,65,95,35,Water,Rock,5.0,2,0
Teppouoテッポウオ,Remoraid,"Hustle, Sniper, Moody",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,65,5120,70,300,190,Jet Pokémon,35,1000000,0.6,35,50.0,223,65,35,65,Water,Ninguno,12.0,2,0
Okutankオクタン,Octillery,"Suction Cups, Sniper, Moody",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,105,5120,70,480,75,Jet Pokémon,75,1000000,0.9,75,50.0,224,105,75,45,Water,Ninguno,28.5,2,0
Delibirdデリバード,Delibird,"Vital Spirit, Hustle, Insomnia",0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,0.0,1.0,1.0,1.0,1.0,4.0,2.0,1.0,55,5120,70,330,45,Delivery Pokémon,45,800000,0.9,45,50.0,225,65,45,75,Ice,Flying,16.0,2,0
Mantainマンタイン,Mantine,"Swift Swim, Water Absorb, Water Veil",0.5,1.0,1.0,4.0,1.0,0.5,0.5,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,0.5,0.5,40,6400,70,485,25,Kite Pokémon,70,1250000,2.1,85,50.0,226,80,140,70,Water,Flying,220.0,2,0
Airmdエアームド,Skarmory,"Keen Eye, Sturdy, Weak Armor",0.25,1.0,0.5,2.0,0.5,1.0,2.0,0.5,1.0,0.25,0.0,1.0,0.5,0.0,0.5,1.0,0.5,1.0,80,6400,70,465,25,Armor Bird Pokémon,140,1250000,1.7,65,50.0,227,40,70,70,Steel,Flying,50.5,2,0
Delvilデルビル,Houndour,"Early Bird, Flash Fire, Unnerve",1.0,0.5,1.0,1.0,1.0,2.0,0.5,1.0,0.5,0.5,2.0,0.5,1.0,1.0,0.0,2.0,0.5,2.0,60,5120,35,330,120,Dark Pokémon,30,1250000,0.6,45,50.0,228,80,50,65,Dark,Fire,10.8,2,0
Hellgarヘルガー,Houndoom,"Early Bird, Flash Fire, Unnerve",1.0,0.5,1.0,1.0,1.0,2.0,0.5,1.0,0.5,0.5,2.0,0.5,1.0,1.0,0.0,2.0,0.5,2.0,90,5120,35,600,45,Dark Pokémon,90,1250000,1.4,75,50.0,229,140,90,115,Dark,Fire,35.0,2,0
Kingdraキングドラ,Kingdra,"Swift Swim, Sniper, Damp",1.0,1.0,2.0,1.0,2.0,1.0,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.25,95,5120,70,540,45,Dragon Pokémon,95,1000000,1.8,75,50.0,230,95,95,85,Water,Dragon,152.0,2,0
Gomazouゴマゾウ,Phanpy,"Pickup, Sand Veil",1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,60,5120,70,330,120,Long Nose Pokémon,60,1000000,0.5,90,50.0,231,40,40,40,Ground,Ninguno,33.5,2,0
Donfanドンファン,Donphan,"Sturdy, Sand Veil",1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,120,5120,70,500,60,Armor Pokémon,120,1000000,1.1,90,50.0,232,60,60,50,Ground,Ninguno,120.0,2,0
Porygon2ポリゴン２,Porygon2,"Trace, Download, Analytic",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,80,5120,70,515,45,Virtual Pokémon,90,1000000,0.6,85,-1.0,233,105,95,60,Normal,Ninguno,32.5,2,0
Odoshishiオドシシ,Stantler,"Intimidate, Frisk, Sap Sipper",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,95,5120,70,465,45,Big Horn Pokémon,62,1250000,1.4,73,50.0,234,85,65,85,Normal,Ninguno,71.2,2,0
Dobleドーブル,Smeargle,"Own Tempo, Technician, Moody",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20,5120,70,250,45,Painter Pokémon,35,800000,1.2,55,50.0,235,20,45,75,Normal,Ninguno,58.0,2,0
Balkieバルキー,Tyrogue,"Guts, Steadfast, Vital Spirit",0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,35,6400,70,210,75,Scuffle Pokémon,35,1000000,0.7,35,100.0,236,35,35,35,Fighting,Ninguno,21.0,2,0
Kapoererカポエラー,Hitmontop,"Intimidate, Technician, Steadfast",0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,95,6400,70,455,45,Handstand Pokémon,95,1000000,1.4,50,100.0,237,35,110,70,Fighting,Ninguno,48.0,2,0
Muchulムチュール,Smoochum,"Oblivious, Forewarn, Hydration",2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,0.5,2.0,2.0,1.0,30,6400,70,305,45,Kiss Pokémon,15,1000000,0.4,45,0.0,238,85,65,65,Ice,Psychic,6.0,2,0
Elekidエレキッド,Elekid,"Static, Vital Spirit",1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,63,6400,70,360,45,Electric Pokémon,37,1000000,0.6,45,75.4,239,65,55,95,Electric,Ninguno,23.5,2,0
Bubyブビィ,Magby,"Flame Body, Vital Spirit",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,75,6400,70,365,45,Live Coal Pokémon,37,1000000,0.7,45,75.4,240,70,55,83,Fire,Ninguno,21.4,2,0
Miltankミルタンク,Miltank,"Thick Fat, Scrappy, Sap Sipper",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,80,5120,70,490,45,Milk Cow Pokémon,105,1250000,1.2,95,0.0,241,40,70,100,Normal,Ninguno,75.5,2,0
Happinasハピナス,Blissey,"Natural Cure, Serene Grace, Healer",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10,10240,140,540,30,Happiness Pokémon,10,800000,1.5,255,0.0,242,75,135,55,Normal,Ninguno,46.8,2,0
Raikouライコウ,Raikou,"Pressure, Inner Focus",1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,85,20480,35,580,3,Thunder Pokémon,75,1250000,1.9,90,-1.0,243,115,100,115,Electric,Ninguno,178.0,2,1
Enteiエンテイ,Entei,"Pressure, Inner Focus",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,115,20480,35,580,3,Volcano Pokémon,85,1250000,2.1,115,-1.0,244,90,75,100,Fire,Ninguno,198.0,2,1
Suicuneスイクン,Suicune,"Pressure, Inner Focus",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,75,20480,35,580,3,Aurora Pokémon,115,1250000,2.0,100,-1.0,245,90,115,85,Water,Ninguno,187.0,2,1
Yogirasヨーギラス,Larvitar,"Guts, Sand Veil",1.0,1.0,1.0,0.0,1.0,2.0,0.5,0.5,1.0,4.0,2.0,2.0,0.5,0.25,1.0,0.5,2.0,4.0,64,10240,35,300,45,Rock Skin Pokémon,50,1250000,0.6,50,50.0,246,45,50,41,Rock,Ground,72.0,2,0
Sanagirasサナギラス,Pupitar,Shed Skin,1.0,1.0,1.0,0.0,1.0,2.0,0.5,0.5,1.0,4.0,2.0,2.0,0.5,0.25,1.0,0.5,2.0,4.0,84,10240,35,410,45,Hard Shell Pokémon,70,1250000,1.2,70,50.0,247,65,70,51,Rock,Ground,152.0,2,0
Bangirasバンギラス,Tyranitar,"Sand Stream, Unnerve",2.0,0.5,1.0,1.0,2.0,4.0,0.5,0.5,0.5,2.0,2.0,1.0,0.5,0.5,0.0,1.0,2.0,2.0,164,10240,35,700,45,Armor Pokémon,150,1250000,2.0,100,50.0,248,95,120,71,Rock,Dark,202.0,2,0
Lugiaルギア,Lugia,"Pressure, Multiscale",1.0,2.0,1.0,2.0,1.0,0.25,1.0,1.0,2.0,0.5,0.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,90,30720,0,680,3,Diving Pokémon,130,1250000,5.2,106,-1.0,249,90,154,110,Psychic,Flying,216.0,2,1
Hououホウオウ,Ho-Oh,"Pressure, Regenerator",0.25,1.0,1.0,2.0,0.5,0.5,0.5,1.0,1.0,0.25,0.0,1.0,1.0,1.0,1.0,4.0,0.5,2.0,130,30720,0,680,3,Rainbow Pokémon,90,1250000,3.8,106,-1.0,250,110,154,90,Fire,Flying,199.0,2,1
Celebiセレビィ,Celebi,Natural Cure,4.0,2.0,1.0,0.5,1.0,0.5,2.0,2.0,2.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,0.5,100,30720,100,600,45,Time Travel Pokémon,100,1059860,0.6,100,-1.0,251,100,100,100,Psychic,Grass,5.0,2,1
Kimoriキモリ,Treecko,"Overgrow, Unburden",2.0,1.0,1.0,0.5,1.0,1.0,2.0,2.0,1.0,0.5,0.5,2.0,1.0,2.0,1.0,1.0,1.0,0.5,45,5120,70,310,45,Wood Gecko Pokémon,35,1059860,0.5,40,88.1,252,65,55,70,Grass,Ninguno,5.0,3,0
Juptileジュプトル,Grovyle,"Overgrow, Unburden",2.0,1.0,1.0,0.5,1.0,1.0,2.0,2.0,1.0,0.5,0.5,2.0,1.0,2.0,1.0,1.0,1.0,0.5,65,5120,70,405,45,Wood Gecko Pokémon,45,1059860,0.9,50,88.1,253,85,65,95,Grass,Ninguno,21.6,3,0
Jukainジュカイン,Sceptile,"Overgrow, Unburden",2.0,1.0,1.0,0.5,1.0,1.0,2.0,2.0,1.0,0.5,0.5,2.0,1.0,2.0,1.0,1.0,1.0,0.5,110,5120,70,630,45,Forest Pokémon,75,1059860,1.7,70,88.1,254,145,85,145,Grass,Ninguno,52.2,3,0
Achamoアチャモ,Torchic,"Blaze, Speed Boost",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,60,5120,70,310,45,Chick Pokémon,40,1059860,0.4,45,88.1,255,70,50,45,Fire,Ninguno,2.5,3,0
Wakasyamoワカシャモ,Combusken,"Blaze, Speed Boost",0.25,0.5,1.0,1.0,1.0,1.0,0.5,2.0,1.0,0.5,2.0,0.5,1.0,1.0,2.0,1.0,0.5,2.0,85,5120,70,405,45,Young Fowl Pokémon,60,1059860,0.9,60,88.1,256,85,60,55,Fire,Fighting,19.5,3,0
Bursyamoバシャーモ,Blaziken,"Blaze, Speed Boost",0.25,0.5,1.0,1.0,1.0,1.0,0.5,2.0,1.0,0.5,2.0,0.5,1.0,1.0,2.0,1.0,0.5,2.0,160,5120,70,630,45,Blaze Pokémon,80,1059860,1.9,80,88.1,257,130,80,100,Fire,Fighting,52.0,3,0
Mizugorouミズゴロウ,Mudkip,"Torrent, Damp",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,70,5120,70,310,45,Mud Fish Pokémon,50,1059860,0.4,50,88.1,258,50,50,40,Water,Ninguno,7.6,3,0
Numacrawヌマクロー,Marshtomp,"Torrent, Damp",1.0,1.0,1.0,0.0,1.0,1.0,0.5,1.0,1.0,4.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,1.0,85,5120,70,405,45,Mud Fish Pokémon,70,1059860,0.7,70,88.1,259,60,70,50,Water,Ground,28.0,3,0
Laglargeラグラージ,Swampert,"Torrent, Damp",1.0,1.0,1.0,0.0,1.0,1.0,0.5,1.0,1.0,4.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,1.0,150,5120,70,635,45,Mud Fish Pokémon,110,1059860,1.5,100,88.1,260,95,110,70,Water,Ground,81.9,3,0
Pochienaポチエナ,Poochyena,"Run Away, Quick Feet, Rattled",2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,55,3840,70,220,255,Bite Pokémon,35,1000000,0.5,35,50.0,261,30,30,35,Dark,Ninguno,13.6,3,0
Graenaグラエナ,Mightyena,"Intimidate, Quick Feet, Moxie",2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,90,3840,70,420,127,Bite Pokémon,70,1000000,1.0,70,50.0,262,60,60,70,Dark,Ninguno,37.0,3,0
Jiguzagumaジグザグマ,Zigzagoon,"Pickup, Gluttony, Quick Feet",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,30,3840,70,240,255,Tiny Racoon Pokémon,41,1000000,0.4,38,50.0,263,30,41,60,Normal,Ninguno,17.5,3,0
Massugumaマッスグマ,Linoone,"Pickup, Gluttony, Quick Feet",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,70,3840,70,420,90,Rush Pokémon,61,1000000,0.5,78,50.0,264,50,61,100,Normal,Ninguno,32.5,3,0
Kemussoケムッソ,Wurmple,"Shield Dust, Run Away",1.0,1.0,1.0,1.0,1.0,0.5,2.0,2.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0,45,3840,70,195,255,Worm Pokémon,35,1000000,0.3,45,50.0,265,20,30,20,Bug,Ninguno,3.6,3,0
Karasalisカラサリス,Silcoon,Shed Skin,1.0,1.0,1.0,1.0,1.0,0.5,2.0,2.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0,35,3840,70,205,120,Cocoon Pokémon,55,1000000,0.6,50,50.0,266,25,25,15,Bug,Ninguno,10.0,3,0
Agehuntアゲハント,Beautifly,"Swarm, Rivalry",0.5,1.0,1.0,2.0,1.0,0.25,2.0,2.0,1.0,0.25,0.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,70,3840,70,395,45,Butterfly Pokémon,50,1000000,1.0,60,50.0,267,100,50,65,Bug,Flying,28.4,3,0
Mayuldマユルド,Cascoon,Shed Skin,1.0,1.0,1.0,1.0,1.0,0.5,2.0,2.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0,35,3840,70,205,120,Cocoon Pokémon,55,1000000,0.7,50,50.0,268,25,25,15,Bug,Ninguno,11.5,3,0
Dokucaleドクケイル,Dustox,"Shield Dust, Compoundeyes",0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0,50,3840,70,385,45,Poison Moth Pokémon,70,1000000,1.2,60,50.0,269,50,90,65,Bug,Poison,31.6,3,0
Hassbohハスボー,Lotad,"Swift Swim, Rain Dish, Own Tempo",2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,0.5,0.25,30,3840,70,220,255,Water Weed Pokémon,30,1059860,0.5,40,50.0,270,40,50,30,Water,Grass,2.6,3,0
Hasubreroハスブレロ,Lombre,"Swift Swim, Rain Dish, Own Tempo",2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,0.5,0.25,50,3840,70,340,120,Jolly Pokémon,50,1059860,1.2,60,50.0,271,60,70,50,Water,Grass,32.5,3,0
Runpappaルンパッパ,Ludicolo,"Swift Swim, Rain Dish, Own Tempo",2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,0.5,0.25,70,3840,70,480,45,Carefree Pokémon,70,1059860,1.5,80,50.0,272,90,100,70,Water,Grass,55.0,3,0
Tanebohタネボー,Seedot,"Chlorophyll, Early Bird, Pickpocket",2.0,1.0,1.0,0.5,1.0,1.0,2.0,2.0,1.0,0.5,0.5,2.0,1.0,2.0,1.0,1.0,1.0,0.5,40,3840,70,220,255,Acorn Pokémon,50,1059860,0.5,40,50.0,273,30,30,30,Grass,Ninguno,4.0,3,0
Konohanaコノハナ,Nuzleaf,"Chlorophyll, Early Bird, Pickpocket",4.0,0.5,1.0,0.5,2.0,2.0,2.0,2.0,0.5,0.5,0.5,2.0,1.0,2.0,0.0,1.0,1.0,0.5,70,3840,70,340,120,Wily Pokémon,40,1059860,1.0,70,50.0,274,60,40,60,Grass,Dark,28.0,3,0
Dirtengダーテング,Shiftry,"Chlorophyll, Early Bird, Pickpocket",4.0,0.5,1.0,0.5,2.0,2.0,2.0,2.0,0.5,0.5,0.5,2.0,1.0,2.0,0.0,1.0,1.0,0.5,100,3840,70,480,45,Wickid Pokémon,60,1059860,1.3,90,50.0,275,90,60,80,Grass,Dark,59.6,3,0
Subameスバメ,Taillow,"Guts, Scrappy",0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,55,3840,70,270,200,TinySwallow Pokémon,30,1059860,0.3,40,50.0,276,30,30,85,Normal,Flying,2.3,3,0
Ohsubameオオスバメ,Swellow,"Guts, Scrappy",0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,85,3840,70,455,45,Swallow Pokémon,60,1059860,0.7,60,50.0,277,75,50,125,Normal,Flying,19.8,3,0
Camomeキャモメ,Wingull,"Keen Eye, Hydration, Rain Dish",0.5,1.0,1.0,4.0,1.0,0.5,0.5,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,0.5,0.5,30,5120,70,270,190,Seagull Pokémon,30,1000000,0.6,40,50.0,278,55,30,85,Water,Flying,9.5,3,0
Pelipperペリッパー,Pelipper,"Keen Eye, Drizzle, Rain Dish",0.5,1.0,1.0,4.0,1.0,0.5,0.5,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,0.5,0.5,50,5120,70,440,45,Water Bird Pokémon,100,1000000,1.2,60,50.0,279,95,70,65,Water,Flying,28.0,3,0
